Sample Number (10000 samples per second),UNIX Timestamp (Milliseconds since 1970-01-01),RPM (rpm),TPS (%),Fuel Open Time (ms),Ignition Angle (deg),Lambda (Lambda),Air Temp (deg),Coolant Temp (deg),Lat (Deg),Lng (Deg),Speed (mph),Oil Pressure (psi)
0,1684438319333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1684438319348,2291.0,11.7,23.9,10.0,0.641,91.6,179.8,0.0,0.0,0.0,5.3625
2,1684438319379,2291.0,11.7,23.9,10.0,0.641,91.6,179.8,0.0,0.0,0.0,5.3625
3,1684438319411,2291.0,11.7,23.9,10.0,0.641,91.6,179.8,0.0,0.0,0.0,5.3625
4,1684438319432,2291.0,11.7,23.9,10.0,0.641,91.6,179.8,0.0,0.0,0.0,5.3625
5,1684438319463,2291.0,11.7,23.9,10.0,0.641,91.6,179.8,0.0,0.0,0.0,5.3625
6,1684438319495,2291.0,11.7,23.9,10.0,0.641,91.6,179.8,0.0,0.0,0.0,5.3625
7,1684438319526,2291.0,11.7,23.9,10.0,0.641,91.6,179.8,0.0,0.0,0.0,5.3625
8,1684438319557,2291.0,11.7,23.9,10.0,0.641,91.6,179.8,0.0,0.0,0.0,5.3625
9,1684438319583,2291.0,11.7,23.9,10.0,0.641,91.6,179.8,0.0,0.0,0.0,5.3625
10,1684438319605,2291.0,11.7,23.9,10.0,0.641,91.6,179.8,0.0,0.0,0.0,5.3625
11,1684438319636,2291.0,11.7,23.9,10.0,0.641,91.6,179.8,0.0,0.0,0.0,5.3625
12,1684438319667,2291.0,11.7,23.9,10.0,0.641,91.6,179.8,0.0,0.0,0.0,5.3625
13,1684438319698,2291.0,11.7,23.9,10.0,0.641,91.6,179.8,0.0,0.0,0.0,5.3625
14,1684438319730,2291.0,11.7,23.9,10.0,0.641,91.6,179.8,0.0,0.0,0.0,5.3625
15,1684438319750,2291.0,11.7,23.9,10.0,0.641,91.6,179.8,0.0,0.0,0.0,5.3625
16,1684438319781,2291.0,11.7,23.9,10.0,0.641,91.6,179.8,0.0,0.0,0.0,5.3625
17,1684438319813,2291.0,11.7,23.9,10.0,0.641,91.6,179.8,0.0,0.0,0.0,5.3625
