Sample Number (10000 samples per second),UNIX Timestamp (Milliseconds since 1970-01-01),RPM (rpm),TPS (%),Fuel Open Time (ms),Ignition Angle (deg),Lambda (Lambda),Air Temp (deg),Coolant Temp (deg),Lat (Deg),Lng (Deg),Speed (mph),Oil Pressure (psi)
0,1684436756422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1684436756433,3548.0,30.1,34.0,23.1,1.122,91.6,181.6,0.0,0.0,0.0,14.137502
2,1684436756463,3564.0,29.300001,33.600002,23.300001,1.101,91.6,181.6,0.0,0.0,0.0,14.137502
3,1684436756484,3564.0,29.300001,33.600002,23.300001,1.075,91.6,181.6,0.0,0.0,0.0,17.025002
4,1684436756514,3784.0,29.2,33.600002,25.800001,1.049,91.6,181.6,0.0,0.0,0.0,17.025002
5,1684436756545,3996.0,29.2,32.9,28.2,0.939,91.6,181.6,0.0,0.0,0.0,19.237501
6,1684436756576,4134.0,29.0,32.7,29.6,0.83,91.6,181.6,0.0,0.0,0.0,19.237501
7,1684436756606,4341.0,24.300001,31.5,30.7,0.83,91.6,181.6,0.0,0.0,0.0,19.237501
8,1684436756636,4341.0,24.300001,31.5,30.7,0.83,91.6,181.6,0.0,0.0,0.0,19.237501
9,1684436756661,4429.0,23.4,29.4,31.0,0.821,91.6,181.6,0.0,0.0,0.0,19.237501
10,1684436756693,4429.0,23.4,29.4,31.0,0.821,91.6,181.6,0.0,0.0,0.0,21.750002
11,1684436756718,4363.0,23.2,29.9,30.800001,0.822,91.6,181.6,0.0,0.0,0.0,21.750002
12,1684436756751,4363.0,23.2,29.9,30.800001,0.822,91.6,181.6,0.0,0.0,0.0,21.750002
13,1684436756778,4363.0,23.2,29.9,30.800001,0.822,89.8,185.2,0.0,0.0,0.0,21.750002
14,1684436756808,4363.0,23.2,29.9,30.800001,0.822,89.8,185.2,0.0,0.0,0.0,21.750002
15,1684436756839,4363.0,23.2,29.9,30.800001,0.822,89.8,185.2,0.0,0.0,0.0,21.750002
16,1684436756869,4363.0,23.2,29.9,30.800001,0.822,89.8,185.2,0.0,0.0,0.0,21.750002
17,1684436756889,4403.0,23.2,29.9,30.9,0.822,89.8,185.2,0.0,0.0,0.0,21.750002
18,1684436756919,4403.0,23.2,29.9,30.9,0.822,89.8,185.2,0.0,0.0,0.0,22.050003
19,1684436756950,4403.0,23.2,29.9,30.9,0.822,89.8,185.2,0.0,0.0,0.0,22.050003
20,1684436756984,4403.0,23.2,29.9,30.9,0.822,89.8,185.2,0.0,0.0,0.0,22.050003
21,1684436757010,4575.0,23.1,28.7,31.300001,0.822,89.8,185.2,0.0,0.0,0.0,22.050003
22,1684436757042,4575.0,23.1,28.7,31.300001,0.822,89.8,185.2,0.0,0.0,0.0,22.050003
23,1684436757071,4575.0,23.1,28.7,31.300001,0.822,89.8,185.2,0.0,0.0,0.0,22.050003
24,1684436757092,4601.0,23.2,28.6,31.4,0.831,89.8,185.2,0.0,0.0,0.0,22.050003
25,1684436757122,4601.0,23.2,28.6,31.4,0.831,89.8,185.2,0.0,0.0,0.0,22.050003
26,1684436757154,4601.0,23.2,28.6,31.4,0.831,89.8,185.2,0.0,0.0,0.0,22.050003
27,1684436757185,4846.0,23.300001,28.6,31.9,0.831,89.8,185.2,0.0,0.0,0.0,22.050003
