Sample Number (10000 samples per second),UNIX Timestamp (Milliseconds since 1970-01-01),RPM (rpm),TPS (%),Fuel Open Time (ms),Ignition Angle (deg),Lambda (Lambda),Air Temp (deg),Coolant Temp (deg),Lat (Deg),Lng (Deg),Speed (mph),Oil Pressure (psi)
0,1684435807417,0.3,30.1,10.0,1.28,91.6,179.8,0.0,0.0,0.0,7.8,0.0
1,1684435807417,2283.0,12.3,30.1,10.0,1.28,91.6,179.8,0.0,0.0,0.0,7.8
2,1684435807417,2283.0,12.3,30.1,10.0,1.28,91.6,179.8,0.0,0.0,0.0,7.8
3,1684435807433,2232.0,12.2,30.0,10.0,1.28,91.6,179.8,0.0,0.0,0.0,7.8
4,1684435807466,2232.0,12.2,30.0,10.0,1.28,91.6,179.8,0.0,0.0,0.0,7.8
5,1684435807496,2232.0,12.2,30.0,10.0,1.28,91.6,179.8,0.0,0.0,0.0,7.8
6,1684435807527,2232.0,12.2,30.0,10.0,1.28,91.6,179.8,0.0,0.0,0.0,7.8
7,1684435807552,2232.0,12.2,30.0,10.0,1.28,91.6,179.8,0.0,0.0,0.0,7.8
8,1684435807584,2229.0,12.3,30.1,10.0,1.28,91.6,179.8,0.0,0.0,0.0,7.8
9,1684435807609,2229.0,12.3,30.1,10.0,1.28,91.6,179.8,0.0,0.0,0.0,7.8
10,1684435807641,2229.0,12.3,30.1,10.0,1.28,91.6,179.8,0.0,0.0,0.0,7.8
11,1684435807667,2156.0,12.2,30.300001,10.0,1.28,91.6,179.8,0.0,0.0,0.0,7.8
12,1684435807689,2156.0,12.2,30.300001,10.0,1.28,91.6,179.8,0.0,0.0,0.0,7.162502
13,1684435807720,2156.0,12.2,30.300001,10.0,1.28,91.6,179.8,0.0,0.0,0.0,7.162502
14,1684435807753,2186.0,12.2,30.1,10.0,1.28,91.6,179.8,0.0,0.0,0.0,7.162502
15,1684435807783,2186.0,12.2,30.1,10.0,1.28,91.6,179.8,0.0,0.0,0.0,7.162502
16,1684435807814,2186.0,12.2,30.1,10.0,1.28,91.6,179.8,0.0,0.0,0.0,7.162502
17,1684435807830,2186.0,12.2,30.1,10.0,1.28,91.6,179.8,0.0,0.0,0.0,7.162502
18,1684435807861,2227.0,12.2,30.2,10.0,1.28,91.6,179.8,0.0,0.0,0.0,7.162502
19,1684435807900,2227.0,12.2,30.2,10.0,1.28,91.6,179.8,0.0,0.0,0.0,7.162502
20,1684435807922,2227.0,12.2,30.2,10.0,1.28,91.6,179.8,0.0,0.0,0.0,7.162502
21,1684435807953,2332.0,12.2,30.0,10.0,1.28,91.6,179.8,0.0,0.0,0.0,7.162502
22,1684435807985,2332.0,12.2,30.0,10.0,1.28,91.6,179.8,0.0,0.0,0.0,7.8
23,1684435808016,2332.0,12.2,30.0,10.0,1.28,91.6,179.8,0.0,0.0,0.0,7.8
24,1684435808032,2332.0,12.2,30.0,10.0,0.629,91.6,179.8,0.0,0.0,0.0,7.8
25,1684435808063,2368.0,12.3,30.0,10.1,0.629,91.6,179.8,0.0,0.0,0.0,7.8
26,1684435808094,2368.0,12.3,30.0,10.1,0.629,91.6,179.8,0.0,0.0,0.0,7.8
27,1684435808125,2368.0,12.3,30.0,10.1,0.636,91.6,179.8,0.0,0.0,0.0,7.8
28,1684435808157,2342.0,12.3,30.0,10.0,0.636,91.6,179.8,0.0,0.0,0.0,7.8
29,1684435808188,2342.0,12.3,30.0,10.0,0.636,91.6,179.8,0.0,0.0,0.0,7.8
30,1684435808208,2342.0,12.3,30.0,10.0,0.636,91.6,179.8,0.0,0.0,0.0,7.8
31,1684435808239,2285.0,12.3,30.0,10.0,0.637,91.6,179.8,0.0,0.0,0.0,7.8
32,1684435808271,2285.0,12.3,30.0,10.0,0.637,91.6,179.8,0.0,0.0,0.0,7.8
33,1684435808302,2285.0,12.3,30.0,10.0,0.637,91.6,179.8,0.0,0.0,0.0,7.8
34,1684435808333,2285.0,12.3,30.0,10.0,0.637,91.6,179.8,0.0,0.0,0.0,7.8
35,1684435808365,2285.0,12.3,30.0,10.0,0.637,91.6,179.8,0.0,0.0,0.0,7.8
36,1684435808380,2285.0,12.3,30.0,10.0,0.637,91.6,179.8,0.0,0.0,0.0,7.8
37,1684435808412,2285.0,12.3,30.0,10.0,0.637,91.6,179.8,0.0,0.0,0.0,7.8
38,1684435808443,2353.0,12.3,30.0,10.0,0.637,91.6,179.8,0.0,0.0,0.0,7.8
39,1684435808474,2353.0,12.3,30.0,10.0,0.637,91.6,179.8,0.0,0.0,0.0,7.8
40,1684435808497,2353.0,12.3,30.0,10.0,0.637,91.6,179.8,0.0,0.0,0.0,8.1
41,1684435808528,2353.0,12.3,30.0,10.0,0.637,91.6,179.8,0.0,0.0,0.0,8.1
42,1684435808560,2342.0,12.3,30.0,10.0,0.637,91.6,179.8,0.0,0.0,0.0,8.1
43,1684435808591,2342.0,12.3,30.0,10.0,0.637,91.6,179.8,0.0,0.0,0.0,8.1
44,1684435808625,2342.0,12.3,30.0,10.0,0.637,91.6,179.8,0.0,0.0,0.0,8.1
45,1684435808654,2333.0,12.3,29.800001,10.0,0.637,91.6,179.8,0.0,0.0,0.0,8.1
46,1684435808670,2333.0,12.3,29.800001,10.0,0.637,91.6,179.8,0.0,0.0,0.0,8.1
47,1684435808701,2333.0,12.3,29.800001,10.0,0.637,91.6,179.8,0.0,0.0,0.0,8.1
48,1684435808732,2333.0,12.3,29.800001,10.0,0.637,91.6,179.8,0.0,0.0,0.0,8.1
49,1684435808763,2302.0,12.3,29.800001,10.0,0.637,91.6,179.8,0.0,0.0,0.0,8.1
50,1684435808795,2302.0,12.3,29.800001,10.0,0.637,91.6,179.8,0.0,0.0,0.0,7.875001
51,1684435808815,2302.0,12.3,29.800001,10.0,0.637,91.6,179.8,0.0,0.0,0.0,7.875001
52,1684435808846,2242.0,12.3,30.0,10.0,0.637,91.6,179.8,0.0,0.0,0.0,7.875001
53,1684435808877,2242.0,12.3,30.0,10.0,0.637,91.6,179.8,0.0,0.0,0.0,7.875001
54,1684435808909,2242.0,12.3,30.0,10.0,0.637,91.6,179.8,0.0,0.0,0.0,7.875001
55,1684435808940,2242.0,12.3,30.0,10.0,0.637,91.6,179.8,0.0,0.0,0.0,7.875001
56,1684435808972,2231.0,12.3,30.0,10.0,0.637,91.6,179.8,0.0,0.0,0.0,7.875001
57,1684435808997,2231.0,12.3,30.0,10.0,0.637,91.6,179.8,0.0,0.0,0.0,7.8
58,1684435809019,2231.0,12.3,30.0,10.0,0.637,91.6,179.8,0.0,0.0,0.0,7.8
59,1684435809050,2257.0,12.2,29.800001,10.0,0.637,91.6,179.8,0.0,0.0,0.0,7.8
60,1684435809081,2257.0,12.2,29.800001,10.0,0.637,91.6,179.8,0.0,0.0,0.0,7.8
61,1684435809114,2257.0,12.2,29.800001,10.0,0.637,91.6,179.8,0.0,0.0,0.0,7.8
62,1684435809135,2257.0,12.2,29.800001,10.0,0.637,91.6,179.8,0.0,0.0,0.0,7.8
63,1684435809166,2107.0,12.2,30.2,10.0,0.637,91.6,179.8,0.0,0.0,0.0,7.8
64,1684435809198,2107.0,12.2,30.2,10.0,0.637,91.6,179.8,0.0,0.0,0.0,7.8
65,1684435809229,2107.0,12.2,30.2,10.0,0.637,91.6,179.8,0.0,0.0,0.0,7.8
66,1684435809261,2292.0,12.2,30.1,10.0,0.637,91.6,179.8,0.0,0.0,0.0,7.8
67,1684435809276,2292.0,12.2,30.1,10.0,0.637,91.6,179.8,0.0,0.0,0.0,7.875001
68,1684435809308,2292.0,12.2,30.1,10.0,0.637,91.6,179.8,0.0,0.0,0.0,7.875001
69,1684435809339,2292.0,12.2,30.1,10.0,0.637,91.6,179.8,0.0,0.0,0.0,7.875001
70,1684435809370,2285.0,12.3,30.0,10.0,0.637,91.6,179.8,0.0,0.0,0.0,7.875001
71,1684435809402,2285.0,12.3,30.0,10.0,0.637,91.6,179.8,0.0,0.0,0.0,7.875001
72,1684435809422,2285.0,12.3,30.0,10.0,0.637,91.6,179.8,0.0,0.0,0.0,7.875001
73,1684435809454,2270.0,12.1,30.2,10.0,0.637,91.6,179.8,0.0,0.0,0.0,7.875001
74,1684435809485,2270.0,12.1,30.2,10.0,0.637,91.6,179.8,0.0,0.0,0.0,7.875001
75,1684435809516,2270.0,12.1,30.2,10.0,0.637,91.6,179.8,0.0,0.0,0.0,7.875001
76,1684435809548,2260.0,12.2,30.2,10.0,0.637,91.6,179.8,0.0,0.0,0.0,7.875001
77,1684435809564,2260.0,12.2,30.2,10.0,0.637,91.6,179.8,0.0,0.0,0.0,7.875001
78,1684435809595,2260.0,12.2,30.2,10.0,0.637,91.6,179.8,0.0,0.0,0.0,7.8
79,1684435809626,2260.0,12.2,30.2,10.0,0.637,91.6,179.8,0.0,0.0,0.0,7.8
80,1684435809657,2260.0,12.2,30.2,10.0,0.637,91.6,179.8,0.0,0.0,0.0,7.8
81,1684435809689,2256.0,12.3,30.2,10.0,0.637,91.6,179.8,0.0,0.0,0.0,7.8
82,1684435809715,2256.0,12.3,30.2,10.0,0.637,91.6,179.8,0.0,0.0,0.0,7.8
83,1684435809743,2320.0,12.3,30.2,10.0,0.637,91.6,179.8,0.0,0.0,0.0,7.8
84,1684435809775,2320.0,12.3,30.2,10.0,0.637,91.6,179.8,0.0,0.0,0.0,7.8
85,1684435809806,2320.0,12.3,30.2,10.0,0.637,91.6,179.8,0.0,0.0,0.0,7.8
86,1684435809838,2314.0,12.1,29.9,10.0,0.637,91.6,179.8,0.0,0.0,0.0,7.8
87,1684435809854,2314.0,12.1,29.9,10.0,0.637,91.6,179.8,0.0,0.0,0.0,7.8
88,1684435809885,2314.0,12.1,29.9,10.0,0.637,91.6,179.8,0.0,0.0,0.0,7.8
89,1684435809917,2314.0,12.1,29.9,10.0,0.637,91.6,179.8,0.0,0.0,0.0,7.8
90,1684435809948,2307.0,12.3,30.1,10.0,0.637,91.6,179.8,0.0,0.0,0.0,7.8
91,1684435809979,2307.0,12.3,30.1,10.0,0.637,91.6,179.8,0.0,0.0,0.0,7.8
92,1684435810011,2307.0,12.3,30.1,10.0,0.637,91.6,179.8,0.0,0.0,0.0,7.8
93,1684435810029,2307.0,12.3,30.1,10.0,0.637,91.6,179.8,0.0,0.0,0.0,7.8
94,1684435810061,2301.0,12.2,30.1,10.0,0.637,91.6,179.8,0.0,0.0,0.0,7.8
95,1684435810092,2301.0,12.2,30.1,10.0,0.637,91.6,179.8,0.0,0.0,0.0,7.987502
96,1684435810124,2301.0,12.2,30.1,10.0,0.637,91.6,179.8,0.0,0.0,0.0,7.987502
97,1684435810155,2301.0,12.2,30.1,10.0,0.637,91.6,179.8,0.0,0.0,0.0,7.987502
98,1684435810182,2260.0,12.3,30.0,10.0,0.637,91.6,179.8,0.0,0.0,0.0,7.987502
99,1684435810213,2260.0,12.3,30.0,10.0,0.637,91.6,179.8,0.0,0.0,0.0,7.987502
100,1684435810236,2260.0,12.3,30.0,10.0,0.637,91.6,179.8,0.0,0.0,0.0,7.987502
101,1684435810265,2265.0,12.3,29.800001,10.0,0.637,91.6,179.8,0.0,0.0,0.0,7.987502
102,1684435810297,2265.0,12.3,29.800001,10.0,0.637,91.6,179.8,0.0,0.0,0.0,7.8
103,1684435810328,2265.0,12.3,29.800001,10.0,0.637,91.6,179.8,0.0,0.0,0.0,7.8
104,1684435810349,2265.0,12.3,29.800001,10.0,0.637,91.6,179.8,0.0,0.0,0.0,7.8
105,1684435810381,2314.0,12.3,29.4,10.0,0.637,91.6,179.8,0.0,0.0,0.0,8.2875
106,1684435810413,2314.0,12.3,29.4,10.0,0.637,91.6,179.8,0.0,0.0,0.0,8.2875
107,1684435810444,2314.0,12.3,29.4,10.0,0.637,91.6,179.8,0.0,0.0,0.0,8.2875
108,1684435810460,2314.0,12.3,29.1,10.0,0.637,91.6,179.8,0.0,0.0,0.0,8.2875
109,1684435810500,2314.0,12.3,29.1,10.0,0.637,91.6,179.8,0.0,0.0,0.0,8.2875
110,1684435810523,2314.0,12.3,29.1,10.0,0.637,91.6,179.8,0.0,0.0,0.0,8.2875
111,1684435810554,2328.0,12.3,28.800001,10.0,0.637,91.6,179.8,0.0,0.0,0.0,8.2875
112,1684435810587,2328.0,12.3,28.800001,10.0,0.637,91.6,179.8,0.0,0.0,0.0,8.2875
